energy,axis,section,layer,mu1,sigma1,amp1,mu2,sigma2,amp2
70,x,0,0,517.3,1.54,46.07,505.26,14.74,102.65
70,x,0,1,518.56,16.5,91.76,1398.72,2181.25,3.58
70,x,0,2,517.27,18.24,68.33,435.42,607.01,3.93
70,x,0,3,502.34,19.69,56.8,555.98,372.49,4.72
70,x,0,4,516.65,22.69,48.38,562.36,331.52,4.55
70,x,0,5,499.81,25.75,39.46,549.32,426.96,4.53
70,x,1,0,504.25,13.5,108.64,421.13,736.85,3.74
70,x,1,1,516.04,15.36,88.27,545.37,500.43,4.65
70,x,1,2,513.22,18.03,66.67,541.35,228.41,5.59
70,x,1,3,498.02,22.13,52.81,10886.5,5413.43,23.47
70,x,1,4,513.75,24.58,44.48,473.86,422.55,4.31
70,x,1,5,496.91,27.74,37.27,543.5,333.95,4.45
70,y,0,0,254.67,-5.41,64.13,276.65,12.04,101.06
70,y,0,1,276.47,18.87,81.61,136.85,264.59,4.2
70,y,0,2,276.86,25.62,53.01,289.66,4.72,25.29
70,y,0,3,279.82,26.31,48.62,168.71,398.07,3.25
70,y,0,4,281.02,27.77,43.46,226.42,222.52,3.91
70,y,0,5,278.19,32.7,34.37,255.34,316.38,3.58
70,y,1,0,253.98,2.55,40.09,273.59,15.31,95.99
70,y,1,1,279.29,24.04,76.81,308.14,8.72,-26.0
70,y,1,2,315.91,6.88,-22.18,283.09,27.28,60.88
70,y,1,3,280.33,24.25,47.05,214.65,184.9,5.0
70,y,1,4,281.43,27.2,39.59,279.38,206.48,4.86
70,y,1,5,278.49,32.49,31.43,249.4,174.99,5.14
100,x,0,0,505.95,14.37,80.15,450.4,277.84,4.79
100,x,0,1,519.01,16.18,68.23,410.98,384.97,4.64
100,x,0,2,517.63,17.99,49.94,435.23,382.93,4.89
100,x,0,3,500.4,20.46,42.74,441.42,338.86,4.66
100,x,0,4,514.42,23.84,34.64,464.0,451.57,4.81
100,x,0,5,495.82,25.49,30.56,454.46,369.75,4.49
100,x,1,0,505.13,16.34,71.86,413.86,414.14,4.44
100,x,1,1,517.89,17.23,60.39,481.92,458.51,5.18
100,x,1,2,517.61,19.91,45.44,452.38,364.98,5.16
100,x,1,3,501.55,22.84,37.73,390.52,506.91,4.28
100,x,1,4,512.94,27.25,31.83,442.09,523.44,4.23
100,x,1,5,495.53,27.84,27.33,509.02,728.31,4.02
100,y,0,0,251.86,0.08,14.27,271.5,19.75,72.06
100,y,0,1,275.5,22.09,66.82,272.8,3.59,-16.68
100,y,0,2,280.48,21.59,43.46,258.88,173.19,6.11
100,y,0,3,278.66,26.72,36.1,241.01,278.04,4.62
100,y,0,4,281.31,29.29,31.26,242.86,278.49,4.86
100,y,0,5,278.08,33.31,26.17,320.25,323.6,4.31
100,y,1,0,271.74,17.21,66.82,271.44,123.33,6.97
100,y,1,1,275.44,19.7,54.61,282.2,191.56,5.85
100,y,1,2,278.81,20.95,45.48,274.45,180.86,6.04
100,y,1,3,278.85,25.56,35.05,288.27,247.61,5.48
100,y,1,4,278.55,27.99,30.57,278.35,283.57,5.2
100,y,1,5,277.41,29.5,23.75,256.74,158.45,6.44
120,x,0,0,505.39,13.85,110.07,511.13,84.33,15.48
120,x,0,1,518.0,16.1,100.0,521.15,165.71,9.98
120,x,0,2,516.23,18.41,77.62,503.76,255.78,7.64
120,x,0,3,500.24,19.92,63.29,481.76,291.67,7.66
120,x,0,4,515.58,24.45,54.24,470.96,401.17,6.45
120,x,0,5,498.16,27.46,45.72,459.19,-390.21,6.2
120,x,1,0,504.84,15.54,109.81,498.71,113.82,11.0
120,x,1,1,518.08,17.66,91.91,501.66,207.55,8.74
120,x,1,2,516.14,19.79,71.96,504.81,311.76,7.38
120,x,1,3,499.99,23.36,59.01,462.95,308.87,6.94
120,x,1,4,514.82,27.67,52.8,359.67,593.39,5.41
120,x,1,5,496.46,29.67,46.41,465.83,380.32,5.97
120,y,0,0,272.05,16.54,103.07,269.57,110.59,12.36
120,y,0,1,276.2,19.19,84.87,268.9,135.49,11.64
120,y,0,2,279.87,22.29,63.47,264.41,148.83,10.51
120,y,0,3,281.37,24.78,52.09,283.8,171.47,10.47
120,y,0,4,282.75,26.35,43.49,270.96,161.64,11.55
120,y,0,5,282.07,29.35,39.56,268.18,167.88,10.18
120,y,1,0,273.01,15.7,107.58,273.97,100.59,12.33
120,y,1,1,276.59,18.97,84.49,273.41,130.03,11.62
120,y,1,2,280.7,21.69,66.35,272.26,146.36,10.38
120,y,1,3,282.27,22.48,56.35,286.4,-162.34,11.08
120,y,1,4,283.21,26.69,50.06,300.15,216.56,9.59
120,y,1,5,280.58,29.22,41.15,283.74,172.77,10.46
150,x,0,0,503.27,17.35,199.93,505.97,113.39,32.1
150,x,0,1,515.79,20.43,161.18,524.3,131.94,28.86
150,x,0,2,513.62,23.78,121.46,527.0,162.58,22.16
150,x,0,3,497.79,30.07,95.68,510.5,202.49,17.09
150,x,0,4,512.47,31.16,87.42,521.32,230.16,15.83
150,x,0,5,494.19,34.19,79.39,473.53,318.58,11.98
150,x,1,0,506.15,16.22,183.12,498.42,96.81,41.39
150,x,1,1,517.79,18.32,148.7,516.97,119.82,36.58
150,x,1,2,515.46,21.62,112.13,515.68,143.09,27.05
150,x,1,3,498.46,23.67,96.02,497.18,174.09,22.24
150,x,1,4,513.7,26.89,87.53,507.09,216.69,17.96
150,x,1,5,496.39,29.8,73.97,487.08,245.68,16.21
