##################### 200 MeV x axis #####################
mu	sigma	amp	mu	sigma	amp
504.56	18.18	727.87	507.55	140.63	364.09
517.06	21.44	587.33	524.35	164.75	299.64
515.94	25.04	429.26	519.28	191.04	223.36
499.77	30.46	344.33	504.83	217.36	179.64
514.48	34.05	301.82	513.86	235.06	153.99
497.07	38.10	264.20	496.13	258.19	126.67
##################### 200 MeV y axis #####################
mu	sigma	amp	mu	sigma	amp
272.79	18.93	776.41	261.25	127.89	424.28
277.17	22.23	598.24	262.86	149.49	367.97
280.37	25.63	438.15	267.93	168.88	291.42
282.38	28.81	355.09	268.17	186.00	252.76
284.09	30.18	308.95	269.13	191.70	232.24
281.20	34.11	248.26	270.01	199.29	206.58
##################### 180 MeV x axis #####################
mu	sigma	amp	mu	sigma	amp
505.61	16.46	320.77	500.64	112.99	120.06
517.67	19.17	264.67	517.53	137.48	97.10
516.75	22.58	202.72	514.44	168.86	70.20
501.51	26.44	166.30	497.98	187.97	57.14
516.39	29.16	149.09	506.69	218.04	47.54
497.92	31.68	129.13	492.52	229.35	42.03
##################### 180 MeV y axis #####################
mu	sigma	amp	mu	sigma	amp
273.00	18.16	320.71	260.48	111.89	126.63
277.45	20.39	254.11	261.61	130.25	112.20
281.31	23.16	192.54	266.09	145.17	92.03
282.36	25.09	158.57	264.33	154.36	81.87
284.79	27.61	140.42	267.88	165.80	74.39
282.40	29.97	123.99	267.16	183.19	64.74
##################### 150 MeV x axis #####################
mu	sigma	amp	mu	sigma	amp
504.64	16.86	379.97	502.59	100.53	74.63
516.75	19.39	307.74	519.99	121.26	66.75
514.51	22.74	231.87	519.46	145.14	50.25
498.19	26.48	188.78	502.51	169.94	41.81
513.07	28.63	173.01	517.23	199.67	35.84
495.36	31.90	152.33	485.69	244.39	29.03
##################### 150 MeV y axis #####################
mu	sigma	amp	mu	sigma	amp
272.94	17.83	375.46	268.81	101.30	77.52
276.99	20.36	305.87	268.92	124.63	70.66
281.25	22.50	231.08	274.43	137.13	60.75
281.33	24.24	190.20	281.79	155.51	55.94
284.30	29.36	164.95	285.65	180.77	49.00
282.02	32.22	137.83	277.30	182.55	47.86
##################### 120 MeV x axis #####################
mu	sigma	amp
505.18	14.55	217.83	505.79	81.01	28.54
518.08	16.29	188.09	517.09	106.37	23.75
516.20	19.15	149.70	509.11	199.66	14.72
500.20	21.49	122.30	484.38	208.23	14.59
515.32	26.23	107.76	451.82	323.43	10.95
497.40	28.95	93.16	472.45	282.28	10.97
##################### 120 MeV y axis #####################
mu	sigma	amp
243.38	19.06	-333.82	253.86	26.06	427.11
276.42	18.94	168.23	270.75	113.21	24.61
280.31	21.86	129.06	272.26	126.56	21.75
281.82	23.93	109.10	287.70	154.26	20.48
282.99	26.56	93.33	281.25	164.77	21.24
281.28	29.27	80.66	276.49	155.97	20.70
##################### 100 MeV x axis #####################
mu	sigma	amp
505.67	15.09	149.77	481.47	87.16	11.75
518.51	16.86	129.35	475.75	223.80	8.71
517.63	19.33	97.05	462.24	260.45	8.02
501.00	22.05	81.62	454.54	278.30	7.34
514.01	25.86	68.16	489.26	282.45	7.23
495.73	27.85	59.15	485.16	293.13	6.61
##################### 100 MeV y axis #####################
mu	sigma	amp
257.10	4.67	26.01	273.16	19.52	138.06
275.65	20.54	112.23	282.36	134.68	10.50
279.65	21.63	89.50	272.56	139.56	11.17
279.01	26.28	72.10	269.58	177.83	9.20
279.94	29.22	62.63	266.88	203.26	8.98
277.85	32.58	51.55	269.70	169.86	8.78
##################### 70 MeV x axis #####################
mu	sigma	amp
505.33	14.16	214.43	457.48	617.64	4.45
517.38	16.40	181.25	531.19	467.39	5.03
515.31	18.99	136.32	542.50	264.47	6.03
500.25	21.66	110.50	565.76	252.84	6.20
515.25	24.64	94.48	529.28	256.83	6.12
498.39	27.85	78.68	513.29	259.47	6.30
##################### 70 MeV y axis #####################
mu	sigma	amp
254.08	-2.99	87.69	273.91	15.08	193.62
308.41	-11.91	-66.87	281.99	24.94	166.82
317.35	13.00	-46.83	285.78	28.99	125.02
280.04	25.71	97.03	238.81	165.58	6.42
281.31	28.00	83.96	250.97	145.99	7.67
278.52	33.24	67.45	245.95	154.50	7.10
