Unnamed: 0,eventID,posX,posY,layerID,clusterSize,hitID,clusterID,cposX,cposY
0,0,778,431,1,1,0,0,778.0,431.0
1,0,814,372,3,1,0,1,814.0,372.0
2,0,825,156,4,1,0,2,825.0,156.0
3,0,223,352,4,2,0,3,223.0,352.5
4,0,223,353,4,2,1,3,223.0,352.5
5,1,485,396,1,1,0,0,485.0,396.0
6,1,403,378,3,1,0,1,403.0,378.0
7,1,825,156,4,1,0,2,825.0,156.0
8,1,223,352,4,2,0,3,223.0,352.5
9,1,223,353,4,2,1,3,223.0,352.5
10,1,63,300,5,1,0,4,63.0,300.0
11,2,886,304,0,6,0,0,886.5,305.0
12,2,887,304,0,6,1,0,886.5,305.0
13,2,887,305,0,6,2,0,886.5,305.0
14,2,886,305,0,6,3,0,886.5,305.0
15,2,886,306,0,6,4,0,886.5,305.0
16,2,887,306,0,6,5,0,886.5,305.0
17,2,485,396,1,1,0,1,485.0,396.0
18,2,941,8,2,1,0,2,941.0,8.0
19,2,456,398,2,1,0,3,456.0,398.0
20,2,825,156,4,1,0,4,825.0,156.0
21,2,937,241,4,1,0,5,937.0,241.0
22,2,620,343,4,1,0,6,620.0,343.0
23,2,223,352,4,2,0,7,223.0,352.5
24,2,223,353,4,2,1,7,223.0,352.5
25,4,417,284,0,9,0,0,417.33,285.11
26,4,418,284,0,9,1,0,417.33,285.11
27,4,418,285,0,9,2,0,417.33,285.11
28,4,417,285,0,9,3,0,417.33,285.11
29,4,416,285,0,9,4,0,417.33,285.11
30,4,416,286,0,9,5,0,417.33,285.11
31,4,417,286,0,9,6,0,417.33,285.11
32,4,418,286,0,9,7,0,417.33,285.11
33,4,419,285,0,9,8,0,417.33,285.11
34,4,169,145,1,1,0,1,169.0,145.0
35,4,383,274,1,7,0,2,383.0,275.29
36,4,383,275,1,7,1,2,383.0,275.29
37,4,382,275,1,7,2,2,383.0,275.29
38,4,382,276,1,7,3,2,383.0,275.29
39,4,383,276,1,7,4,2,383.0,275.29
40,4,384,276,1,7,5,2,383.0,275.29
41,4,384,275,1,7,6,2,383.0,275.29
42,4,515,352,1,1,0,3,515.0,352.0
43,4,216,122,2,1,0,4,216.0,122.0
44,4,332,266,2,11,0,5,332.91,267.36
45,4,333,266,2,11,1,5,332.91,267.36
46,4,334,266,2,11,2,5,332.91,267.36
47,4,334,267,2,11,3,5,332.91,267.36
48,4,333,267,2,11,4,5,332.91,267.36
49,4,332,267,2,11,5,5,332.91,267.36
50,4,332,268,2,11,6,5,332.91,267.36
51,4,333,268,2,11,7,5,332.91,267.36
52,4,334,268,2,11,8,5,332.91,267.36
53,4,333,269,2,11,9,5,332.91,267.36
54,4,332,269,2,11,10,5,332.91,267.36
55,4,265,255,3,10,0,6,265.8,256.0
56,4,266,255,3,10,1,6,265.8,256.0
57,4,267,255,3,10,2,6,265.8,256.0
58,4,267,256,3,10,3,6,265.8,256.0
59,4,266,256,3,10,4,6,265.8,256.0
60,4,265,256,3,10,5,6,265.8,256.0
61,4,264,256,3,10,6,6,265.8,256.0
62,4,265,257,3,10,7,6,265.8,256.0
63,4,266,257,3,10,8,6,265.8,256.0
64,4,267,257,3,10,9,6,265.8,256.0
65,4,224,243,4,10,0,7,224.8,244.5
66,4,225,243,4,10,1,7,224.8,244.5
67,4,225,244,4,10,2,7,224.8,244.5
68,4,224,244,4,10,3,7,224.8,244.5
69,4,224,245,4,10,4,7,224.8,244.5
70,4,225,245,4,10,5,7,224.8,244.5
71,4,226,245,4,10,6,7,224.8,244.5
72,4,226,244,4,10,7,7,224.8,244.5
73,4,225,246,4,10,8,7,224.8,244.5
74,4,224,246,4,10,9,7,224.8,244.5
75,4,620,343,4,1,0,8,620.0,343.0
76,4,223,352,4,2,0,9,223.0,352.5
77,4,223,353,4,2,1,9,223.0,352.5
78,4,626,213,5,1,0,10,626.0,213.0
79,4,154,230,5,10,0,11,154.0,231.8
80,4,154,231,5,10,1,11,154.0,231.8
81,4,153,231,5,10,2,11,154.0,231.8
82,4,153,232,5,10,3,11,154.0,231.8
83,4,154,232,5,10,4,11,154.0,231.8
84,4,155,232,5,10,5,11,154.0,231.8
85,4,155,231,5,10,6,11,154.0,231.8
86,4,155,233,5,10,7,11,154.0,231.8
87,4,154,233,5,10,8,11,154.0,231.8
88,4,153,233,5,10,9,11,154.0,231.8
89,4,408,510,5,1,0,12,408.0,510.0
90,5,502,245,0,9,0,0,503.33,245.89
91,5,503,245,0,9,1,0,503.33,245.89
92,5,504,245,0,9,2,0,503.33,245.89
93,5,504,246,0,9,3,0,503.33,245.89
94,5,503,246,0,9,4,0,503.33,245.89
95,5,502,246,0,9,5,0,503.33,245.89
96,5,503,247,0,9,6,0,503.33,245.89
97,5,504,247,0,9,7,0,503.33,245.89
98,5,505,246,0,9,8,0,503.33,245.89
99,5,514,272,0,4,0,1,514.25,272.5
100,5,515,272,0,4,1,1,514.25,272.5
101,5,515,273,0,4,2,1,514.25,272.5
102,5,513,273,0,4,3,1,514.25,272.5
103,5,169,145,1,1,0,2,169.0,145.0
104,5,522,242,1,8,0,3,522.12,243.12
105,5,523,242,1,8,1,3,522.12,243.12
106,5,523,243,1,8,2,3,522.12,243.12
107,5,522,243,1,8,3,3,522.12,243.12
108,5,521,243,1,8,4,3,522.12,243.12
109,5,521,244,1,8,5,3,522.12,243.12
110,5,522,244,1,8,6,3,522.12,243.12
111,5,523,244,1,8,7,3,522.12,243.12
112,5,528,274,1,4,0,4,528.0,275.0
113,5,527,275,1,4,1,4,528.0,275.0
114,5,528,276,1,4,2,4,528.0,275.0
115,5,529,275,1,4,3,4,528.0,275.0
116,5,715,103,2,1,0,5,715.0,103.0
117,5,519,243,2,9,0,6,520.0,244.0
118,5,520,243,2,9,1,6,520.0,244.0
119,5,521,243,2,9,2,6,520.0,244.0
120,5,521,244,2,9,3,6,520.0,244.0
121,5,520,244,2,9,4,6,520.0,244.0
122,5,519,244,2,9,5,6,520.0,244.0
123,5,519,245,2,9,6,6,520.0,244.0
124,5,520,245,2,9,7,6,520.0,244.0
125,5,521,245,2,9,8,6,520.0,244.0
126,5,34,295,2,1,0,7,34.0,295.0
127,5,507,240,3,9,0,8,507.89,241.33
128,5,508,240,3,9,1,8,507.89,241.33
129,5,508,241,3,9,2,8,507.89,241.33
130,5,507,241,3,9,3,8,507.89,241.33
131,5,507,242,3,9,4,8,507.89,241.33
132,5,508,242,3,9,5,8,507.89,241.33
133,5,509,242,3,9,6,8,507.89,241.33
134,5,509,241,3,9,7,8,507.89,241.33
135,5,508,243,3,9,8,8,507.89,241.33
136,5,509,275,3,3,0,9,508.67,276.0
137,5,508,276,3,3,1,9,508.67,276.0
138,5,509,277,3,3,2,9,508.67,276.0
139,5,825,156,4,1,0,10,825.0,156.0
140,5,527,236,4,6,0,11,527.5,237.0
141,5,528,236,4,6,1,11,527.5,237.0
142,5,528,237,4,6,2,11,527.5,237.0
143,5,527,237,4,6,3,11,527.5,237.0
144,5,527,238,4,6,4,11,527.5,237.0
145,5,528,238,4,6,5,11,527.5,237.0
146,5,223,352,4,2,0,12,223.0,352.5
147,5,223,353,4,2,1,12,223.0,352.5
148,5,514,226,5,10,0,13,514.8,227.5
149,5,515,226,5,10,1,13,514.8,227.5
150,5,515,227,5,10,2,13,514.8,227.5
151,5,514,227,5,10,3,13,514.8,227.5
152,5,514,228,5,10,4,13,514.8,227.5
153,5,515,228,5,10,5,13,514.8,227.5
154,5,516,228,5,10,6,13,514.8,227.5
155,5,516,227,5,10,7,13,514.8,227.5
156,5,515,229,5,10,8,13,514.8,227.5
157,5,514,229,5,10,9,13,514.8,227.5
